[rosmaster.master][INFO] 2018-10-05 16:53:57,005: +SERVICE [/duckbot12/image_rect/compressedDepth/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,015: +PARAM [/duckbot12/tag_detections_image/theora/keyframe_frequency] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,024: +PUB [/duckbot12/image_rect/compressedDepth/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,032: +PUB [/duckbot12/tag_detections] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:57,046: +PUB [/duckbot12/tag_detections_pose] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:57,051: +PUB [/duckbot12/image_rect/compressedDepth/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,097: +PARAM [/duckbot12/image_rect/compressedDepth/depth_max] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,118: +PARAM [/duckbot12/image_rect/compressedDepth/depth_quantization] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,125: +PARAM [/duckbot12/image_rect/compressedDepth/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,135: +PARAM [/duckbot12/image_rect/compressedDepth/depth_max] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,152: +PARAM [/duckbot12/image_rect/compressedDepth/depth_quantization] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,169: +PARAM [/duckbot12/image_rect/compressedDepth/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,177: +PUB [/duckbot12/image_rect/compressed] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,189: +SERVICE [/duckbot12/image_rect/compressed/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,196: +PUB [/duckbot12/image_rect/compressed/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,205: +PUB [/duckbot12/image_rect/compressed/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:57,253: +PARAM [/duckbot12/image_rect/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,261: +PARAM [/duckbot12/image_rect/compressed/jpeg_quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,270: +PARAM [/duckbot12/image_rect/compressed/png_level] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,288: +PARAM [/duckbot12/image_rect/compressed/format] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,295: +PARAM [/duckbot12/image_rect/compressed/jpeg_quality] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:57,306: +PARAM [/duckbot12/image_rect/compressed/png_level] by /duckbot12/image_proc_node
